Packet drops detected:
At index 60 (Timestamp: 20240605 06:17:39), Delay: 2.0 seconds
At index 86 (Timestamp: 20240605 06:18:06), Delay: 2.0 seconds
At index 145 (Timestamp: 20240605 06:19:05), Delay: 2.0 seconds
At index 220 (Timestamp: 20240605 06:20:21), Delay: 2.0 seconds
At index 235 (Timestamp: 20240605 06:20:36), Delay: 2.0 seconds
At index 318 (Timestamp: 20240605 06:22:00), Delay: 2.0 seconds
At index 398 (Timestamp: 20240605 06:23:21), Delay: 2.0 seconds
At index 476 (Timestamp: 20240605 06:24:40), Delay: 2.0 seconds
At index 479 (Timestamp: 20240605 06:24:44), Delay: 2.0 seconds
At index 560 (Timestamp: 20240605 06:26:05), Delay: 2.0 seconds
At index 641 (Timestamp: 20240605 06:27:27), Delay: 2.0 seconds
At index 727 (Timestamp: 20240605 06:28:54), Delay: 2.0 seconds
At index 808 (Timestamp: 20240605 06:30:16), Delay: 2.0 seconds
At index 833 (Timestamp: 20240605 06:30:43), Delay: 3.0 seconds
At index 880 (Timestamp: 20240605 06:31:29), Delay: 2.0 seconds
At index 1026 (Timestamp: 20240605 06:33:56), Delay: 2.0 seconds
At index 1103 (Timestamp: 20240605 06:35:14), Delay: 2.0 seconds
At index 1176 (Timestamp: 20240605 06:36:28), Delay: 2.0 seconds
At index 1258 (Timestamp: 20240605 06:37:51), Delay: 2.0 seconds
At index 1340 (Timestamp: 20240605 06:39:14), Delay: 2.0 seconds
At index 1419 (Timestamp: 20240605 06:40:34), Delay: 2.0 seconds
At index 1505 (Timestamp: 20240605 06:42:01), Delay: 2.0 seconds
At index 1579 (Timestamp: 20240605 06:43:16), Delay: 2.0 seconds
At index 1661 (Timestamp: 20240605 06:44:39), Delay: 2.0 seconds
At index 1732 (Timestamp: 20240605 06:45:51), Delay: 2.0 seconds
At index 1819 (Timestamp: 20240605 06:47:19), Delay: 2.0 seconds
At index 1925 (Timestamp: 20240605 06:49:06), Delay: 2.0 seconds
At index 1999 (Timestamp: 20240605 06:50:21), Delay: 2.0 seconds
At index 2084 (Timestamp: 20240605 06:51:47), Delay: 2.0 seconds
At index 2180 (Timestamp: 20240605 06:53:24), Delay: 2.0 seconds
At index 2254 (Timestamp: 20240605 06:54:39), Delay: 2.0 seconds
At index 2334 (Timestamp: 20240605 06:56:00), Delay: 2.0 seconds
At index 2423 (Timestamp: 20240605 06:57:30), Delay: 2.0 seconds
At index 2505 (Timestamp: 20240605 06:58:53), Delay: 2.0 seconds
At index 2591 (Timestamp: 20240605 07:00:20), Delay: 2.0 seconds
At index 2681 (Timestamp: 20240605 07:01:51), Delay: 2.0 seconds
At index 2760 (Timestamp: 20240605 07:03:11), Delay: 2.0 seconds
At index 2824 (Timestamp: 20240605 07:04:16), Delay: 2.0 seconds
At index 2869 (Timestamp: 20240605 07:05:02), Delay: 2.0 seconds
At index 2915 (Timestamp: 20240605 07:05:49), Delay: 2.0 seconds
At index 2980 (Timestamp: 20240605 07:06:55), Delay: 2.0 seconds
At index 3042 (Timestamp: 20240605 07:07:58), Delay: 2.0 seconds
At index 3105 (Timestamp: 20240605 07:09:02), Delay: 2.0 seconds
At index 3172 (Timestamp: 20240605 07:10:10), Delay: 2.0 seconds
At index 3237 (Timestamp: 20240605 07:11:16), Delay: 2.0 seconds
At index 3259 (Timestamp: 20240605 07:11:39), Delay: 2.0 seconds
At index 3260 (Timestamp: 20240605 07:11:41), Delay: 2.0 seconds
At index 3262 (Timestamp: 20240605 07:11:44), Delay: 2.0 seconds
At index 3326 (Timestamp: 20240605 07:12:49), Delay: 2.0 seconds
At index 3390 (Timestamp: 20240605 07:13:54), Delay: 2.0 seconds
At index 3456 (Timestamp: 20240605 07:15:01), Delay: 2.0 seconds
At index 3516 (Timestamp: 20240605 07:16:02), Delay: 2.0 seconds
At index 3534 (Timestamp: 20240605 07:16:21), Delay: 2.0 seconds
At index 3593 (Timestamp: 20240605 07:17:21), Delay: 2.0 seconds
At index 3641 (Timestamp: 20240605 07:18:10), Delay: 2.0 seconds
At index 3654 (Timestamp: 20240605 07:18:24), Delay: 2.0 seconds
At index 3719 (Timestamp: 20240605 07:19:30), Delay: 2.0 seconds
At index 3791 (Timestamp: 20240605 07:20:43), Delay: 2.0 seconds
At index 3864 (Timestamp: 20240605 07:21:59), Delay: 4.0 seconds
At index 4160 (Timestamp: 20240605 07:26:56), Delay: 2.0 seconds
At index 4357 (Timestamp: 20240605 07:30:14), Delay: 2.0 seconds
At index 4597 (Timestamp: 20240605 07:34:15), Delay: 2.0 seconds
At index 4606 (Timestamp: 20240605 07:34:25), Delay: 2.0 seconds
At index 4759 (Timestamp: 20240605 07:36:59), Delay: 2.0 seconds
At index 4828 (Timestamp: 20240605 07:38:09), Delay: 2.0 seconds
